Course,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price,Total Enrollment after  Phase 4,Seats Available after Phase 4,Phase 4 Price
37202-81,Pricing Strategies,Spring,2018,"Thursday, 6:00 -  9:00","Dubé, Jean-Pierre",70,CLO,9046,70,CLO,22005,70,CLO,N/A,70,CLO,N/A,70,CLO,18904,70,CLO,27899
37601-60,Marketing Workshop,Spring,2018,"Tuesday,10:40 - 12:00","Bartels, Daniel;Hitsch, Günter",5,60,0,6,59,0,6,59,N/A,6,59,N/A,8,57,0,9,56,N/A
37903-50,Adv Mktg Theory: Behavioral Science Approach,Spring,2018,"Wednesday, 1:30 -  4:30","Sussman, Abigail",4,61,0,4,61,N/A,4,61,N/A,4,61,N/A,4,61,N/A,6,59,0
37904-50,Advanced Quantitative Marketing,Spring,2018,"Monday, 1:30 -  4:30","Dubé, Jean-Pierre;Hitsch, Günter",1,64,0,1,64,N/A,1,64,N/A,1,64,N/A,1,64,N/A,3,62,N/A
37905-50,Marketing Literature Seminar,Spring,2018,"Wednesday, 8:30 - 12:00","Chintagunta, Pradeep;Shapiro, Bradley",4,16,0,5,15,0,5,15,N/A,5,15,N/A,8,12,0,10,10,0
38001-01,Managing in Organizations,Spring,2018,"Friday, 8:30 - 11:30","Fishbach, Ayelet",18,47,0,17,48,0,17,48,N/A,17,48,N/A,18,47,0,31,34,N/A
38001-02,Managing in Organizations,Spring,2018,"Friday, 1:30 -  4:30","Fishbach, Ayelet",18,47,0,27,38,0,27,38,N/A,27,38,N/A,26,39,0,32,33,0
38001-85,Managing in Organizations,Spring,2018,"Saturday, 9:00 - 12:00","Fishbach, Ayelet",36,29,0,35,30,0,47,18,0,45,20,0,48,17,0,50,15,0
38002-01,Managerial Decision Making,Spring,2018,"Tuesday, 8:30 - 11:30","Hsee, Christopher",65,CLO,1001,65,CLO,5008,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,122
38002-02,Managerial Decision Making,Spring,2018,"Tuesday, 1:30 -  4:30","Hsee, Christopher",65,CLO,500,65,CLO,1000,65,CLO,N/A,65,CLO,N/A,65,CLO,6666,65,CLO,4809
38002-81,Managerial Decision Making,Spring,2018,"Tuesday, 6:00 -  9:00","Hsee, Christopher",65,CLO,62,64,1,0,65,CLO,5595,65,CLO,N/A,65,CLO,7559,65,CLO,3509
38003-01,Power and Influence in Organizations,Spring,2018,"Friday, 8:30 - 11:30","Caruso, Heather",21,44,0,24,41,0,24,41,N/A,24,41,N/A,24,41,0,23,42,0
38003-85,Power and Influence in Organizations,Spring,2018,"Saturday, 9:00 - 12:00","Caruso, Heather",42,23,0,36,29,0,45,20,0,43,22,N/A,59,6,0,59,6,0
38102-81,Persuasion II: Influence Through Narrative ⑤,Spring,2018,"Wednesday, 6:00 -  9:00","Weitzman, Hal",18,18,0,19,17,0,19,17,N/A,19,17,N/A,24,12,0,25,11,0
38103-01,Strategies and Processes of Negotiation,Spring,2018,"Tuesday, 1:30 -  4:30","Ginzel, Linda",55,CLO,3341,55,CLO,6000,55,CLO,N/A,55,CLO,N/A,55,CLO,N/A,55,CLO,N/A
38103-02,Strategies and Processes of Negotiation,Spring,2018,"Wednesday, 1:30 -  4:30","Ginzel, Linda",55,CLO,4000,55,CLO,7547,55,CLO,N/A,55,CLO,N/A,55,CLO,15000,55,CLO,7054
38103-03,Strategies and Processes of Negotiation,Spring,2018,"Friday, 8:30 - 11:30","Levine, Emma",13,42,0,15,40,0,15,40,N/A,15,40,N/A,16,39,0,24,31,N/A
38103-04,Strategies and Processes of Negotiation,Spring,2018,"Thursday, 8:30 - 11:30","Levine, Emma",24,31,0,39,16,0,39,16,N/A,39,16,N/A,49,6,0,55,CLO,0
38103-81,Strategies and Processes of Negotiation,Spring,2018,"Wednesday, 6:00 -  9:00","Ginzel, Linda",55,CLO,5003,55,CLO,8753,55,CLO,N/A,55,CLO,N/A,55,CLO,12874,55,CLO,10016
38103-82,Strategies and Processes of Negotiation,Spring,2018,"Thursday, 6:00 -  9:00","Levine, Emma",12,43,0,15,40,0,23,32,0,23,32,0,19,36,0,25,30,0
38105-01,Advanced Negotiations,Spring,2018,"Wednesday, 8:30 - 11:30","Wu, George",40,CLO,3,40,CLO,597,40,CLO,N/A,40,CLO,N/A,40,CLO,7,40,CLO,3967
38105-02,Advanced Negotiations,Spring,2018,"Wednesday, 1:30 -  4:30","Wu, George",34,6,0,40,CLO,3013,40,CLO,N/A,40,CLO,N/A,40,CLO,1521,40,CLO,6265
38105-81,Advanced Negotiations,Spring,2018,"Wednesday, 6:00 -  9:00","Wu, George",29,11,0,33,7,0,33,7,N/A,33,7,N/A,35,5,0,40,CLO,0
38115-81,Ethics of Business,Spring,2018,"Monday, 6:00 -  9:00","Rollert, John",35,30,0,41,24,0,46,19,0,45,20,N/A,53,12,0,55,10,0
38121-01,Value Beyond Profit,Spring,2018,"Wednesday, 8:30 - 11:30","Zinchenko, Elena",51,14,0,65,CLO,1765,65,CLO,N/A,65,CLO,N/A,65,CLO,6000,65,CLO,2459
38601-60,Workshop in Behavioral Science,Spring,2018,"Monday,10:10 - 11:30","Hsee, Christopher;McGill, Ann",8,57,0,9,56,0,9,56,N/A,8,57,N/A,8,57,N/A,8,57,N/A
38914-50,Foundations of Social Psychology,Spring,2018,"Monday, 1:30 -  4:30","Epley, Nicholas;Fishbach, Ayelet",14,5,0,15,4,0,15,4,N/A,15,4,N/A,15,4,N/A,15,4,N/A
39001-01,Strategy and Structure: Markets and Organizations,Spring,2018,"Monday, 8:30 - 11:30","Chu, Johan",23,42,0,23,42,0,23,42,N/A,23,42,N/A,20,45,0,19,46,0
39001-02,Strategy and Structure: Markets and Organizations,Spring,2018,"Monday, 1:30 -  4:30","Chu, Johan",33,32,0,44,21,0,44,21,N/A,44,21,N/A,48,17,0,44,21,0
39001-81,Strategy and Structure: Markets and Organizations,Spring,2018,"Monday, 6:00 -  9:00","Chu, Johan",51,14,0,54,11,0,65,CLO,1221,65,CLO,908,62,3,0,59,6,0
39002-01,Strategic Leadership,Spring,2018,"Thursday, 1:30 -  4:30","Bergemann, Patrick",51,14,0,65,CLO,6,65,CLO,N/A,65,CLO,N/A,65,CLO,500,65,CLO,1
39002-81,Strategic Leadership,Spring,2018,"Thursday, 6:00 -  9:00","Bergemann, Patrick",33,32,0,32,33,0,39,26,0,40,25,0,47,18,0,41,24,0
39101-81,Technology Strategy,Spring,2018,"Monday, 6:00 -  9:00","Knez, Marc",58,12,0,58,12,0,59,11,0,59,11,N/A,70,CLO,8000,70,CLO,8801
39103-01,Augmented Intelligence,Spring,2018,"Wednesday, 1:30 -  4:30","Evans, James",47,18,0,65,CLO,129,65,CLO,N/A,65,CLO,N/A,61,4,0,57,8,0
39600-60,Workshop in Organizations and Markets,Spring,2018,"Tuesday, 3:00 -  4:30","Pontikes, Elizabeth",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A
40000-01,Operations Management: Business Process Fundamentals,Spring,2018,"Monday, 1:30 -  4:30","Belavina, Elena",65,CLO,2000,65,CLO,4689,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,8962
40000-03,Operations Management: Business Process Fundamentals,Spring,2018,"Friday, 1:30 -  4:30","Xin, Linwei",26,39,0,27,38,0,27,38,N/A,27,38,N/A,25,40,0,20,45,0
40000-81,Operations Management: Business Process Fundamentals,Spring,2018,"Monday, 6:00 -  9:00","Belavina, Elena",46,19,0,45,20,0,57,8,0,56,9,0,65,CLO,4315,65,CLO,15851
40000-82,Operations Management: Business Process Fundamentals,Spring,2018,"Thursday, 6:00 -  9:00","Xin, Linwei",13,52,0,13,52,0,15,50,0,15,50,0,20,45,0,26,39,0
40108-81,Revenue Management,Spring,2018,"Thursday, 6:00 -  9:00","Caldentey, Rene",11,29,0,12,28,0,14,26,0,14,26,N/A,25,15,0,28,12,0
40110-01,Managing Service Operations,Spring,2018,"Wednesday, 1:30 -  4:30","Eisenstein, Donald",45,CLO,3683,45,CLO,13373,45,CLO,N/A,45,CLO,N/A,45,CLO,29008,45,CLO,N/A
40110-81,Managing Service Operations,Spring,2018,"Tuesday, 6:00 -  9:00","Eisenstein, Donald",45,CLO,1000,45,CLO,7911,45,CLO,N/A,45,CLO,N/A,45,CLO,11111,45,CLO,12602
40902-50,Special Topics in Operations Mgt./Mgt. Sci.: Online Optimization & Decision Making under Uncertainty,Spring,2018,"Thursday, 8:30 - 11:30","Gupta, Varun",2,30,0,4,28,0,4,28,N/A,4,28,N/A,6,26,0,7,25,0
40907-50,Healthcare Operations,Spring,2018,"Wednesday, 9:00 - 12:00","Sandikçi, Burhaneddin;Zhong, Yuan",1,64,0,3,62,0,3,62,N/A,3,62,N/A,5,60,0,5,60,N/A
41000-81,Business Statistics,Spring,2018,"Friday, 6:00 -  9:00","Liang, Tengyuan",16,49,0,12,53,0,25,40,0,25,40,0,25,40,0,34,31,0
41000-85,Business Statistics,Spring,2018,"Saturday, 9:00 - 12:00","Liang, Tengyuan",5,60,0,4,61,N/A,17,48,0,16,49,N/A,20,45,0,29,36,0
41100-82,Applied Regression Analysis,Spring,2018,"Friday, 6:00 -  9:00","Toulis, Panagiotis (Panos)",31,34,0,27,38,0,29,36,0,29,36,N/A,27,38,0,26,39,N/A
41100-85,Applied Regression Analysis,Spring,2018,"Saturday, 9:00 - 12:00","Toulis, Panagiotis (Panos)",14,51,0,16,49,0,26,39,0,26,39,N/A,28,37,0,28,37,0
41201-01,Big Data,Spring,2018,"Friday, 1:30 -  4:30","Rockova, Veronika",38,27,0,37,28,0,37,28,N/A,37,28,N/A,32,33,0,45,20,0
41201-81,Big Data,Spring,2018,"Friday, 6:00 -  9:00","Rockova, Veronika",26,39,0,30,35,0,31,34,0,31,34,N/A,21,44,0,24,41,0
41201-85,Big Data,Spring,2018,"Saturday, 1:30 -  4:30","Rockova, Veronika",28,37,0,21,44,0,22,43,0,22,43,N/A,23,42,0,20,45,N/A
41202-01,Analysis of Financial Time Series,Spring,2018,"Wednesday, 8:30 - 11:30","Tsay, Ruey",9,56,0,12,53,0,12,53,N/A,12,53,N/A,10,55,0,48,17,N/A
41202-81,Analysis of Financial Time Series,Spring,2018,"Tuesday, 6:00 -  9:00","Tsay, Ruey",6,59,0,7,58,0,8,57,0,8,57,N/A,9,56,0,21,44,0
41600-60,Econometrics and Statistics Colloquium,Spring,2018,"Thursday, 1:20 -  2:50","Farrell, Max;Xiu, Dacheng",4,61,0,4,61,N/A,4,61,N/A,4,61,N/A,3,62,N/A,6,59,0
41903-50,Applied Econometrics,Spring,2018,"Monday, Wednesday,10:10 - 11:30","Hansen, Christian",10,55,0,9,56,N/A,9,56,N/A,9,56,N/A,9,56,0,12,53,0
41912-50,Applied Multivariate Analysis,Spring,2018,"Friday, 8:30 - 11:30","Tsay, Ruey",6,59,0,6,59,0,6,59,N/A,6,59,N/A,6,59,N/A,13,52,N/A
42001-01,Competitive Strategy,Spring,2018,"Friday, 8:30 - 11:30","Budish, Eric",22,43,0,18,47,0,18,47,N/A,18,47,N/A,16,49,0,18,47,0
42001-02,Competitive Strategy,Spring,2018,"Friday, 1:30 -  4:30","Budish, Eric",16,49,0,21,44,0,21,44,N/A,21,44,N/A,26,39,0,29,36,0
42001-81,Competitive Strategy,Spring,2018,"Friday, 6:00 -  9:00","Budish, Eric",65,CLO,149,65,CLO,3386,65,CLO,N/A,65,CLO,N/A,57,8,0,55,10,0
42102-81,The Strategy Symposium,Spring,2018,"Friday, 6:00 -  9:00","Davis, Harry;Gould, John",30,CLO,6000,30,CLO,18000,30,CLO,N/A,30,CLO,N/A,30,CLO,N/A,30,CLO,520
42102-85,The Strategy Symposium,Spring,2018,"Saturday, 9:00 - 12:00","Davis, Harry;Gould, John",30,CLO,2980,28,2,N/A,28,2,N/A,28,2,N/A,30,CLO,12880,29,1,0
42116-01,Game Theory,Spring,2018,"Monday, 1:30 -  4:30","Kamenica, Emir",65,CLO,3,65,CLO,9867,65,CLO,N/A,65,CLO,N/A,65,CLO,6207,65,CLO,0
42116-02,Game Theory,Spring,2018,"Tuesday, 8:30 - 11:30","Kamenica, Emir",65,CLO,4040,65,CLO,14520,65,CLO,N/A,65,CLO,N/A,65,CLO,9039,65,CLO,28500
42116-81,Game Theory,Spring,2018,"Monday, 6:00 -  9:00","Kamenica, Emir",65,CLO,1243,65,CLO,3907,65,CLO,N/A,65,CLO,N/A,65,CLO,12092,65,CLO,5694
42117-01,Platform Competition ⑤,Spring,2018,"Thursday, 8:30 - 11:30","Goolsbee, Austan",65,CLO,891,65,CLO,3000,65,CLO,N/A,65,CLO,N/A,65,CLO,1003,65,CLO,9
42117-02,Platform Competition ⑤,Spring,2018,"Thursday, 1:30 -  4:30","Goolsbee, Austan",62,3,0,65,CLO,4123,65,CLO,N/A,65,CLO,N/A,61,4,0,58,7,N/A
42117-81,Platform Competition ⑤,Spring,2018,"Wednesday, 6:00 -  9:00","Goolsbee, Austan",31,34,0,34,31,0,34,31,N/A,34,31,N/A,56,9,0,60,5,0
42118-01,Business Applications of Natural Language Processing,Spring,2018,"Wednesday, 1:30 -  4:30","Alderucci, Dean",33,7,0,40,CLO,17,40,CLO,N/A,40,CLO,N/A,38,2,N/A,37,3,0
42118-81,Business Applications of Natural Language Processing,Spring,2018,"Wednesday, 6:00 -  9:00","Alderucci, Dean",14,26,0,16,24,0,16,24,N/A,16,24,N/A,23,17,0,29,11,0
42124-81,Storytelling and Narratives in Business,Spring,2018,"Thursday, 6:00 -  9:00","Rolnik, Guy",65,CLO,3102,65,CLO,10704,65,CLO,N/A,65,CLO,N/A,65,CLO,8000,65,CLO,6791
42124-85,Storytelling and Narratives in Business,Spring,2018,"Saturday, 9:00 - 12:00","Rolnik, Guy",65,CLO,0,65,CLO,1500,65,CLO,N/A,65,CLO,N/A,65,CLO,2000,65,CLO,6320
30000-01,Financial Accounting,Winter,2018,"Friday, 1:30 -  4:30","Bonham, Jonathan",44,21,0,50,15,0,50,15,N/A,50,15,N/A,29,36,0,26,39,0
30000-81,Financial Accounting,Winter,2018,"Tuesday, 6:00 -  9:00","Barrios, John",19,46,0,16,49,N/A,35,30,0,33,32,0,65,CLO,1,65,CLO,4389
30000-85,Financial Accounting,Winter,2018,"Saturday, 1:30 -  4:30","Bonham, Jonathan",20,45,0,23,42,0,23,42,N/A,23,42,N/A,21,44,N/A,22,43,0
30001-01,Cost Analysis and Internal Controls,Winter,2018,"Tuesday, 1:30 -  4:30","Gallemore, John",70,CLO,321,70,CLO,10001,70,CLO,N/A,70,CLO,N/A,70,CLO,4582,70,CLO,9021
30001-02,Cost Analysis and Internal Controls,Winter,2018,"Wednesday, 1:30 -  4:30","Gallemore, John",70,CLO,1000,70,CLO,10005,70,CLO,N/A,70,CLO,N/A,70,CLO,12000,70,CLO,N/A
30001-81,Cost Analysis and Internal Controls,Winter,2018,"Tuesday, 6:00 -  9:00","Gallemore, John",70,CLO,556,70,CLO,2505,70,CLO,N/A,70,CLO,N/A,70,CLO,10642,70,CLO,10000
30116-01,Accounting and Financial Analysis I,Winter,2018,"Wednesday, 1:30 -  4:30","Soffer, Leonard",65,CLO,1,63,2,0,63,2,N/A,63,2,N/A,64,1,0,60,5,0
30116-02,Accounting and Financial Analysis I,Winter,2018,"Thursday, 1:30 -  4:30","Soffer, Leonard",19,46,0,26,39,0,26,39,N/A,26,39,N/A,22,43,0,20,45,0
30116-85,Accounting and Financial Analysis I,Winter,2018,"Saturday, 1:30 -  4:30","Soffer, Leonard",21,44,0,20,45,0,20,45,N/A,20,45,N/A,24,41,0,24,41,N/A
30118-01,Taxes and Business Strategy,Winter,2018,"Monday, 1:30 -  4:30","Erickson, Merle",50,15,0,61,4,0,61,4,N/A,61,4,N/A,62,3,0,62,3,0
30118-02,Taxes and Business Strategy,Winter,2018,"Tuesday, 1:30 -  4:30","Erickson, Merle",56,14,0,70,CLO,402,70,CLO,N/A,70,CLO,N/A,68,2,0,68,2,0
30118-81,Taxes and Business Strategy,Winter,2018,"Tuesday, 6:00 -  9:00","Erickson, Merle",32,33,0,29,36,0,29,36,N/A,29,36,N/A,41,24,0,40,25,0
30121-01,Accounting for Entrepreneurship: From Start-Up through IPO,Winter,2018,"Tuesday, 1:30 -  4:30","Weiss, Ira",55,CLO,2490,55,CLO,8543,55,CLO,N/A,55,CLO,N/A,55,CLO,N/A,55,CLO,19923
30121-81,Accounting for Entrepreneurship: From Start-Up through IPO,Winter,2018,"Monday, 6:00 -  9:00","Weiss, Ira",49,6,0,52,3,0,52,3,N/A,52,3,N/A,55,CLO,12815,55,CLO,10100
30130-81,Financial Statement Analysis,Winter,2018,"Friday, 6:00 -  9:00","Zmijewski, Mark",46,19,0,38,27,0,39,26,0,39,26,N/A,49,16,0,48,17,0
30130-85,Financial Statement Analysis,Winter,2018,"Saturday, 9:00 - 12:00","Zmijewski, Mark",26,39,0,25,40,0,25,40,N/A,25,40,N/A,33,32,0,39,26,0
30600-60,Workshop in Accounting Research,Winter,2018,"Thursday, 1:20 -  2:50","Minnis, Michael;Nikolaev, Valeri",3,62,0,4,61,0,4,61,N/A,4,61,N/A,5,60,0,5,60,N/A
30901-50,Economic Modeling of Accounting Issues,Winter,2018,"Wednesday, 9:00 - 12:00","Sapra, Haresh",3,27,0,3,27,N/A,3,27,N/A,3,27,N/A,3,27,N/A,3,27,N/A
30904-50,Empirical Research on Managers Corporate Financial Reporting Decisions,Winter,2018,"Tuesday, 8:30 - 11:30","Skinner, Douglas",8,22,0,8,22,N/A,8,22,N/A,8,22,N/A,9,21,0,9,21,N/A
33001-81,Microeconomics,Winter,2018,"Monday, 6:00 -  9:00","Shefi, Yoad",6,59,0,4,61,N/A,11,54,0,10,55,N/A,30,35,0,37,28,0
33001-82,Microeconomics,Winter,2018,"Wednesday, 6:00 -  9:00","Shivakumar, Ram",45,20,0,45,20,N/A,65,CLO,768,65,CLO,200,65,CLO,6972,65,CLO,N/A
33001-85,Microeconomics,Winter,2018,"Saturday, 9:00 - 12:00","Shivakumar, Ram",61,4,0,57,8,0,57,8,N/A,57,8,N/A,65,CLO,0,64,1,N/A
33032-81,Managing the Workplace,Winter,2018,"Tuesday, 6:00 -  9:00","Kole, Stacey",32,33,0,30,35,0,31,34,0,31,34,N/A,40,25,0,46,19,0
33040-01,Macroeconomics,Winter,2018,"Tuesday, 8:30 - 11:30","Vavra, Joseph",33,32,0,35,30,0,35,30,N/A,35,30,N/A,32,33,0,31,34,0
33040-02,Macroeconomics,Winter,2018,"Tuesday, 1:30 -  4:30","Vavra, Joseph",29,36,0,29,36,0,29,36,N/A,29,36,N/A,34,31,0,33,32,0
33040-81,Macroeconomics,Winter,2018,"Thursday, 6:00 -  9:00","Davis, Steven",18,47,0,17,48,0,17,48,N/A,17,48,N/A,17,48,0,17,48,0
33040-85,Macroeconomics,Winter,2018,"Saturday, 9:00 - 12:00","Davis, Steven",32,33,0,27,38,0,27,38,N/A,27,38,N/A,28,37,0,27,38,0
33112-81,Business in Historical Perspective,Winter,2018,"Friday, 6:00 -  9:00","Hornbeck, Richard",11,29,0,11,29,N/A,11,29,N/A,11,29,N/A,12,28,0,13,27,0
33112-85,Business in Historical Perspective,Winter,2018,"Saturday, 9:00 - 12:00","Hornbeck, Richard",16,24,0,16,24,0,16,24,N/A,16,24,N/A,21,19,0,21,19,N/A
33113-01,History of Economic Ideas ⑤,Winter,2018,"Tuesday, 8:30 - 11:30","Barry, Brian",38,27,0,51,14,0,51,14,N/A,51,14,N/A,57,8,0,54,11,0
33113-81,History of Economic Ideas ⑤,Winter,2018,"Tuesday, 6:00 -  9:00","Barry, Brian",9,56,0,7,58,0,7,58,N/A,7,58,N/A,13,52,0,18,47,0
33401-01,Money and Banking,Winter,2018,"Thursday, 8:30 - 11:30","Hachem, Kinda",36,29,0,44,21,0,44,21,N/A,44,21,N/A,45,20,0,41,24,0
33401-81,Money and Banking,Winter,2018,"Thursday, 6:00 -  9:00","Hachem, Kinda",18,47,0,14,51,0,14,51,N/A,14,51,N/A,15,50,0,18,47,0
33401-85,Money and Banking,Winter,2018,"Saturday, 9:00 - 12:00","Hachem, Kinda",20,45,0,17,48,0,17,48,N/A,17,48,N/A,14,51,0,13,52,0
33450-01,Real Estate Investments I,Winter,2018,"Thursday, 1:30 -  4:30","Pagliari, Joseph",38,27,0,46,19,0,46,19,N/A,46,19,N/A,43,22,0,43,22,0
33450-81,Real Estate Investments I,Winter,2018,"Thursday, 6:00 -  9:00","Pagliari, Joseph",31,34,0,30,35,0,31,34,0,31,34,N/A,31,34,0,34,31,0
33450-85,Real Estate Investments I,Winter,2018,"Saturday, 9:00 - 12:00","Pagliari, Joseph",18,22,0,13,27,N/A,13,27,N/A,13,27,N/A,18,22,0,20,20,0
33503-01,Managing the Firm in the Global Economy,Winter,2018,"Wednesday, 8:30 - 11:30","Dingel, Jonathan",47,18,0,64,1,0,64,1,N/A,64,1,N/A,65,CLO,25,65,CLO,2000
33503-81,Managing the Firm in the Global Economy,Winter,2018,"Wednesday, 6:00 -  9:00","Dingel, Jonathan",40,25,0,40,25,0,40,25,N/A,40,25,N/A,43,22,0,40,25,0
33503-85,Managing the Firm in the Global Economy,Winter,2018,"Saturday, 1:30 -  4:30","Dingel, Jonathan",21,44,0,18,47,0,18,47,N/A,18,47,N/A,25,40,0,24,41,0
33610-60,Applied Economics Workshop,Winter,2018,"Wednesday, 1:20 -  2:50","Hornbeck, Richard;Kamenica, Emir",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,1,64,0,1,64,N/A
33650-60,Workshop in Macro and International Economics,Winter,2018,"Monday,11:45 -  1:15","Dingel, Jonathan;Winberry, Thomas",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A
33922-50,Advanced Industrial Organization II,Winter,2018,"Monday, Wednesday,10:30 - 12:20","Hortaçsu, Ali",6,24,0,6,24,N/A,6,24,N/A,6,24,N/A,7,23,0,7,23,0
33942-50,Applied Macroeconomics: Micro Data for Macro Models,Winter,2018,"Wednesday, 2:00 -  5:00","Davis, Steven",1,21,0,1,21,N/A,1,21,N/A,1,21,N/A,1,21,N/A,2,20,0
34101-01,Entrepreneurial Finance and Private Equity,Winter,2018,"Monday, 1:30 -  4:30","Hochberg, Yael",38,27,0,54,11,0,54,11,N/A,54,11,N/A,51,14,0,55,10,0
34102-01,New Venture Strategy,Winter,2018,"Tuesday, 1:30 -  4:30","Schrager, James",65,CLO,7500,65,CLO,12028,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A
34102-02,New Venture Strategy,Winter,2018,"Thursday, 1:30 -  4:30","Bunch, Gregory",65,CLO,0,65,CLO,3000,65,CLO,N/A,65,CLO,N/A,65,CLO,7000,65,CLO,3800
34102-85,New Venture Strategy,Winter,2018,"Saturday, 1:30 -  4:30","Schrager, James",65,CLO,1412,65,CLO,6000,65,CLO,N/A,65,CLO,N/A,65,CLO,14233,65,CLO,15030
34103-01,Building the New Venture,Winter,2018,"Monday, 8:30 - 11:30","Lyman, Lindsey",45,CLO,1,45,CLO,710,45,CLO,N/A,45,CLO,N/A,45,CLO,1601,45,CLO,4333
34103-81,Building the New Venture,Winter,2018,"Monday, 6:00 -  9:00","Lyman, Lindsey",45,CLO,101,45,CLO,5,45,CLO,N/A,45,CLO,N/A,45,CLO,300,44,1,0
34106-01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Winter,2018,"Friday, 8:30 - 11:30","Meadow, Scott",55,CLO,1561,55,CLO,2479,55,CLO,N/A,55,CLO,N/A,55,CLO,N/A,55,CLO,3500
34106-85,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Winter,2018,"Saturday, 9:00 - 12:00","Meadow, Scott",45,10,0,43,12,0,43,12,N/A,43,12,N/A,55,CLO,7700,55,CLO,5004
34111-01,Entrepreneurial Selling,Winter,2018,"Tuesday, 1:30 -  4:30","Alter, Michael",16,47,0,17,46,0,17,46,N/A,17,46,N/A,19,44,0,18,45,0
34111-81,Entrepreneurial Selling,Winter,2018,"Tuesday, 6:00 -  9:00","Alter, Michael",29,34,0,28,35,0,28,35,N/A,28,35,N/A,27,36,0,28,35,0
34302-01,Entrepreneurship through Acquisition,Winter,2018,"Friday, 1:30 -  4:30","Agnew, Mark;O'Connor, Brian",65,CLO,9502,65,CLO,14419,65,CLO,N/A,65,CLO,N/A,65,CLO,15969,65,CLO,16000
34706-01,Energy and CleanTech Lab,Winter,2018,"Friday, 1:30 -  4:30","Blumberg, Jason",18,12,0,21,9,0,21,9,N/A,21,9,N/A,19,11,0,20,10,0
35000-01,Investments,Winter,2018,"Friday, 8:30 - 11:30","Constantinides, George",20,45,0,31,34,0,31,34,N/A,31,34,N/A,29,36,0,31,34,0
35000-02,Investments,Winter,2018,"Monday, 8:30 - 11:30","Weber, Michael",70,CLO,645,70,CLO,3500,70,CLO,N/A,70,CLO,N/A,70,CLO,4001,70,CLO,7569
35000-03,Investments,Winter,2018,"Monday, 1:30 -  4:30","Weber, Michael",70,CLO,1500,70,CLO,8318,70,CLO,N/A,70,CLO,N/A,70,CLO,8925,70,CLO,N/A
35000-81,Investments,Winter,2018,"Friday, 6:00 -  9:00","Constantinides, George",8,57,0,11,54,0,11,54,N/A,11,54,N/A,10,55,0,12,53,0
35000-82,Investments,Winter,2018,"Monday, 6:00 -  9:00","Weber, Michael",52,13,0,53,12,0,56,9,0,56,9,N/A,65,CLO,4032,65,CLO,5485
35000-85,Investments,Winter,2018,"Saturday, 9:00 - 12:00","Constantinides, George",33,32,0,29,36,0,29,36,N/A,29,36,N/A,27,38,0,28,37,0
35101-81,"Futures, Forwards, Options & Swaps: Theory and Practice",Winter,2018,"Monday, 6:00 -  9:00","Belton, Terrence",16,49,0,17,48,0,17,48,N/A,17,48,N/A,14,51,0,12,53,N/A
35123-01,The FinTech Revolution,Winter,2018,"Tuesday, 8:30 - 11:30","Zingales, Luigi",70,CLO,5515,70,CLO,16450,70,CLO,N/A,70,CLO,N/A,70,CLO,15000,70,CLO,N/A
35123-81,The FinTech Revolution,Winter,2018,"Tuesday, 6:00 -  9:00","Zingales, Luigi",70,CLO,303,69,1,0,70,CLO,4000,70,CLO,N/A,70,CLO,20528,70,CLO,13470
35132-85,Advanced Models of Option Pricing and Credit Risk,Winter,2018,"Saturday, 9:00 - 12:00","Veronesi, Pietro",21,44,0,19,46,0,19,46,N/A,19,46,N/A,17,48,0,16,49,0
35200-01,Corporation Finance,Winter,2018,"Tuesday, 8:30 - 11:30","Kempf, Elisabeth",60,5,0,65,CLO,1000,65,CLO,N/A,65,CLO,N/A,65,CLO,341,64,1,N/A
35200-02,Corporation Finance,Winter,2018,"Tuesday, 8:30 - 11:30","Jeffers, Jessica",10,55,0,11,54,0,11,54,N/A,11,54,N/A,13,52,0,13,52,N/A
35200-04,Corporation Finance,Winter,2018,"Wednesday, 8:30 - 11:30","Jeffers, Jessica",30,35,0,34,31,0,34,31,N/A,34,31,N/A,35,30,0,35,30,N/A
35200-81,Corporation Finance,Winter,2018,"Monday, 6:00 -  9:00","Kempf, Elisabeth",25,40,0,24,41,0,24,41,N/A,24,41,N/A,29,36,0,30,35,N/A
35200-82,Corporation Finance,Winter,2018,"Tuesday, 6:00 -  9:00","Kempf, Elisabeth",32,33,0,34,31,0,34,31,N/A,34,31,N/A,35,30,0,35,30,N/A
