Quarter,Section,Title,Program,Instructor,,Meeting Day/Time,Building,Location,Prerequisites,Syllabus,Note
Autumn 2020,35200-02,Corporation Finance,Full-Time MBA,"Nelson, Scott",,W 1:30PM-4:30PM,Gleacher Center,400,"30000, 33001, 35000 (strict, not concurrent) & 41000 (or 41100). 35000 waivers may be granted based on substantial invest. coursework or CFA level 2or+. Invest. work exp & corp fin courses don’t satisfy 35000 pq. Can’t enroll in 35200 if 20410 taken.",Syllabus,"Faculty In-Person, Dual Modality"
Winter 2021,35200-01,Corporation Finance,Full-Time MBA,"Kempf, Elisabeth",,F 8:30AM-11:30AM,,TBA,"Bus 30000, 33001, 35000 (strict, can’t be concurrent), & 41000 (or 41100). 35000 waivers to Jessica.Henderson@chicagobooth.edu potentially to those w/ substantial previous investments courses or CFA level 2 or +. Can’t enroll in 35200 if 20410 taken.",Syllabus,Remote-Only
Winter 2021,35200-02,Corporation Finance,Full-Time MBA,"Kempf, Elisabeth",,F 1:30PM-4:30PM,,TBA,"Bus 30000, 33001, 35000 (strict, can’t be concurrent), & 41000 (or 41100). 35000 waivers to Jessica.Henderson@chicagobooth.edu potentially to those w/ substantial previous investments courses or CFA level 2 or +. Can’t enroll in 35200 if 20410 taken.",Syllabus,Remote-Only
Winter 2021,35200-03,Corporation Finance,Full-Time MBA,"Noel, Pascal",,W 8:30AM-11:30AM,,TBA,"Bus 30000, 33001, 35000 (strict), & 41000 (or 41100). 35000 waivers possible if substantial courses in investments or CFA level 2 or +. Previous investments work & courses in corp fin don't satisfy 35000 PQ. Can’t enroll in 35200 if 20410 taken.",Syllabus,Remote-Only
Winter 2021,35200-04,Corporation Finance,Full-Time MBA,"Noel, Pascal",,W 1:30PM-4:30PM,,TBA,"Bus 30000, 33001, 35000 (strict), & 41000 (or 41100). 35000 waivers possible if substantial courses in investments or CFA level 2 or +. Previous investments work & courses in corp fin don't satisfy 35000 PQ. Can’t enroll in 35200 if 20410 taken.",Syllabus,Remote-Only
Spring 2021,35200-01,Corporation Finance,Full-Time MBA,"Jeffers, Jessica",,TH 8:30AM-11:30AM,,TBA,"30000, 33001, 35000 (strict) & 41000 (or 41100). 35000 waivers if substantial investments course work or CFA level 2 or+. Prior invest. work & corp fin courses don’t satisfy PQ. Can’t enroll in 35200 if 20410 taken. Non-Booth & Dougan req permission.",Syllabus,Remote-Only
Spring 2021,35200-02,Corporation Finance,Full-Time MBA,"Jeffers, Jessica",,TH 1:30PM-4:30PM,,TBA,"30000, 33001, 35000 (strict) & 41000 (or 41100). 35000 waivers if substantial investments course work or CFA level 2 or+. Prior invest. work & corp fin courses don’t satisfy PQ. Can’t enroll in 35200 if 20410 taken. Non-Booth & Dougan req permission.",Syllabus,Remote-Only
Autumn 2020,35201-01,Cases in Financial Management,Full-Time MBA,"Born, Laura",,T 1:30PM-4:30PM,Gleacher Center,100,Bus 35000 (or 35901) & 35200 (or 35902) req’d: strict. Must submit case write up due in wk 1. Undergrads & Dougan Scholars require consent: strict.,Syllabus,"Faculty In-Person, Dual Modality"
Winter 2021,35201-01,Cases in Financial Management,Full-Time MBA,"Born, Laura",,W 8:30AM-11:30AM,Gleacher Center,200,Bus 35000 (or 35901) & 35200 (or 35902) req’d: strict. Must submit case write up due in wk 1. Undergrads & Dougan Scholars require consent: strict.,Syllabus,"Faculty In-Person, Dual Modality"
Spring 2021,35202-01,Financial Markets and Institutions,Full-Time MBA,"Diamond, Douglas",,F 8:30AM-11:30AM,,TBA,Bus 35000 and 35200.  35200 can be concurrent.,Syllabus,Remote-Only
Winter 2021,35210-01,International Corporate Finance,Full-Time MBA,"Rajan, Raghuram",,F 8:30AM-11:30AM,,TBA,"Bus 35200: strict (can be substituted by 35201, 30130, 34101, or 35902).",Syllabus,Remote-Only
Winter 2021,35210-02,International Corporate Finance,Full-Time MBA,"Rajan, Raghuram",,F 1:30PM-4:30PM,,TBA,"Bus 35200: strict (can be substituted by 35201, 30130, 34101, or 35902).",Syllabus,Remote-Only
Spring 2021,35213-01,Emerging Markets Finance and Entrepreneurship,Full-Time MBA,"Colonnelli, Emanuele",,F 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Winter 2021,35214-01,"Debt, Distress, and Restructuring",Full-Time MBA,"Sufi, Amir",,W 1:30PM-4:30PM,Harper Center,C04,"Bus 30000, 33001, 41000 (or 41100), 35000, 35200 strongly recommended. Non-Booth students, including Dougan Scholars, need faculty permission.",Syllabus,Remote-Only
Winter 2021,35215-01,Behavioral and Institutional Finance,Full-Time MBA,"Vishny, Robert",,TH 1:30PM-4:30PM,,TBA,Bus 35000 and 35200 or equivalent.,Syllabus,Remote-Only
Spring 2021,35219-01,Chinese Economy and Financial Markets,Full-Time MBA,"He, Zhiguo",,TTH 10:10AM-11:30AM,,TBA,,Syllabus,Remote-Only
Autumn 2020,36106-01,Managerial Decision Modeling,Full-Time MBA,"Sandikçi, Burhaneddin",,TH 8:30AM-11:30AM,,TBA,"Stats @ level of 41000 (or 41100), financial accounting @ level of 30000, & micro @ level of 33001 helpful. Some familiarity with Excel. Computer necessary. Cannot enroll in BUSN 36106 if BUSN 20510 taken previously.",Syllabus,Remote-Only
Winter 2021,36106-01,Managerial Decision Modeling,Full-Time MBA,"Ata, Baris",,WF 3:10PM-4:30PM,,TBA,Cannot enroll in BUSN 36106 if BUSN 20510 taken previously.,Syllabus,Remote-Only
Winter 2021,36106-02,Managerial Decision Modeling,Full-Time MBA,"Ata, Baris",,WF 4:40PM-6:00PM,,TBA,Cannot enroll in BUSN 36106 if BUSN 20510 taken previously.,Syllabus,Remote-Only
Spring 2021,36106-01,Managerial Decision Modeling,Full-Time MBA,"Gupta, Varun",,W 8:30AM-11:30AM,,TBA,"Basic stats (at level of 41000 or 41100), basic finance/accounting and basic Excel.  Cannot enroll in BUSN 36106 if BUSN 20510 taken previously.",Syllabus,Remote-Only
Spring 2021,36109-01,Advanced Decision Models with Python,Full-Time MBA,"Eisenstein, Donald",,TH 6:00PM-9:00PM,,TBA,Bus 36106 highly recommended. See advice in Content section of description. Experience w/ a programming language.  See advice in Content section of description.,Syllabus,Remote-Only
Autumn 2020,36110-01,Application Development,Full-Time MBA,"Betina, Raghu",,TH 1:30PM-4:30PM,,TBA,None. Cannot enroll in BUSN 36110 if BUSN 20550 taken previously.,Syllabus,"Faculty Remote, Remote-Only"
Winter 2021,36110-01,Application Development,Full-Time MBA,"Betina, Raghu",,M 8:30AM-11:30AM,,TBA,None. Cannot enroll in BUSN 36110 if BUSN 20550 taken previously.,Syllabus,Remote-Only
Spring 2021,36110-01,Application Development,Full-Time MBA,"Betina, Raghu",,W 1:30PM-4:30PM,,TBA,None. Cannot enroll in BUSN 36110 if BUSN 20550 taken previously.,Syllabus,Remote-Only
Spring 2021,36110-02,Application Development,Full-Time MBA,"Betina, Raghu",,TH 1:30PM-4:30PM,,TBA,None. Cannot enroll in BUSN 36110 if BUSN 20550 taken previously.,Syllabus,Remote-Only
Autumn 2020,37000-01,Marketing Strategy,Full-Time MBA,"Rao, Anita",,W 1:30PM-2:50PM,,TBA,Cannot enroll in BUSN 37000 if BUSN 20600 taken previously.,Syllabus,Remote-Only
Autumn 2020,37000-02,Marketing Strategy,Full-Time MBA,"Rao, Anita",,W 3:10PM-4:30PM,,TBA,Cannot enroll in BUSN 37000 if BUSN 20600 taken previously.,Syllabus,Remote-Only
Autumn 2020,37000-03,Marketing Strategy,Full-Time MBA,"Dietvorst, Berkeley",,M 8:30AM-11:30AM,,TBA,Cannot enroll in BUSN 37000 if BUSN 20600 taken previously.,Syllabus,Remote-Only
Autumn 2020,37000-04,Marketing Strategy,Full-Time MBA,"Dietvorst, Berkeley",,M 1:30PM-4:30PM,,TBA,Cannot enroll in BUSN 37000 if BUSN 20600 taken previously.,Syllabus,Remote-Only
Winter 2021,37000-01,Marketing Strategy,Full-Time MBA,"Strulov-Shlain, Avner",,F 8:30AM-11:30AM,,TBA,"Background in micro (Bus 33001 or equiv from undergrad) helpful, but not required. No undergrads, including Dougan Scholars. Cannot enroll in BUSN 37000 if BUSN 20600 taken previously.",Syllabus,Remote-Only
Winter 2021,37000-02,Marketing Strategy,Full-Time MBA,"Sussman, Abigail",,TH 8:30AM-11:30AM,,TBA,Cannot enroll in BUSN 37000 if BUSN 20600 taken previously.,Syllabus,Remote-Only
Winter 2021,37000-03,Marketing Strategy,Full-Time MBA,"Sussman, Abigail",,TH 1:30PM-4:30PM,,TBA,Cannot enroll in BUSN 37000 if BUSN 20600 taken previously.,Syllabus,Remote-Only
Spring 2021,37000-01,Marketing Strategy,Full-Time MBA,"Shapiro, Bradley",,W 8:30AM-11:30AM,,TBA,"Bus 33001 or equiv. helpful.  No undergrads, including Dougan Scholars.  Cannot enroll in BUSN 37000 if BUSN 20600 taken previously.",Syllabus,Remote-Only
Spring 2021,37000-02,Marketing Strategy,Full-Time MBA,"Shapiro, Bradley",,W 1:30PM-4:30PM,,TBA,"Bus 33001 or equiv. helpful.  No undergrads, including Dougan Scholars.  Cannot enroll in BUSN 37000 if BUSN 20600 taken previously.",Syllabus,Remote-Only
Winter 2021,37101-01,Consumer Behavior,Full-Time MBA,"Gaertig, Celia",,TH 8:30AM-11:30AM,,TBA,"BUS 37000 useful (before or concurrent), but not absolutely necessary.",Syllabus,Remote-Only
Spring 2021,37101-01,Consumer Behavior,Full-Time MBA,"Bartels, Daniel",,TH 1:30PM-4:30PM,,TBA,"BUS 37000 useful (before or concurrent), but not absolutely necessary.",Syllabus,Remote-Only
Spring 2021,37103-01,Data-Driven Marketing,Full-Time MBA,"Hitsch, Guenter",,TH 1:30PM-4:30PM,,TBA,"Business 37000 or 37100: strict, and 41000 (or 41100).  Cannot enroll in 37103 if 37105 taken previously:  strict.",Syllabus,Remote-Only
Autumn 2020,37105-01,Data Science for Marketing Decision Making,Full-Time MBA,"Hitsch, Guenter",,F 1:30PM-4:30PM,Gleacher Center,100,"Bus 37000 and 41000 (or 41100). Students will write scripts in R, & correspondingly some programming experience (in R or some other language) is necessary.  Cannot enroll if 37103 or 20620 taken previously: strict.",Syllabus,"Faculty In-Person, Dual Modality"
Winter 2021,37107-01,Experimental Marketing,Full-Time MBA,"Urminsky, Oleg",,W 1:30PM-4:30PM,,TBA,"Bus 37000 & 41000 (or 41100) required (strict), but can be concurrent. Statistical significance testing & regression used. Prior experience w/ statistical data analysis important. Non-Booth require permission. No auditors.",Syllabus,Remote-Only
Winter 2021,37201-01,Lab in Developing New Products and Services,Full-Time MBA,"Middlebrooks, Arthur",,TH 8:30AM-11:30AM,,TBA,"Bus 37000: strict (can be taken concurrently). No non-Booth students, including Dougan Scholars.  Application & acceptance required.  Cannot be dropped once enrolled.  Cannot take 37201 if 37200 taken previously: strict.",Syllabus,Remote-Only
Winter 2021,37202-01,Pricing Strategies,Full-Time MBA,"Moshary, Sarah",,W 8:30AM-11:30AM,,TBA,Some background in statistics and data analysis is helpful.  Cannot enroll in BUSN 37202 if BUSN 20610 taken previously.,Syllabus,Remote-Only
Spring 2021,37202-01,Pricing Strategies,Full-Time MBA,"Dubé, Jean-Pierre",,W 1:30PM-4:30PM,,TBA,Bus 33001 or 37000 (either may be concurrent).  Cannot enroll in BUSN 37202 if BUSN 20610 taken previously.,Syllabus,Remote-Only
Winter 2021,37304-01,Digital and Algorithmic Marketing,Full-Time MBA,"Misra, Sanjog",,F 8:30AM-11:30AM,,TBA,"Bus 37000 & 41000 (or 41100): strict (can be concurrent). Other marketing courses (Pricing, Data Driven Marketing) & other Booth courses that deal w/ data (e.g. Big Data) & computing helpful. Familiar w/ R.  R self-assessment recommended b/f bidding.",Syllabus,Remote-Only
Spring 2021,37704-01,Algorithmic Marketing Lab,Full-Time MBA,"Misra, Sanjog",,W 8:30AM-11:30AM,,TBA,BUSN 37304: strict. Application only.  No auditors.,No Syllabus Available,Remote-Only
Autumn 2020,38001-01,Managing in Organizations,Full-Time MBA,"McGill, Ann",,F 8:30AM-11:30AM,,TBA,"None.  However, students must attend week 1. No non-Booth students (including Dougan Scholars).  Cannot enroll in BUSN 38001 if BUSN 20701 taken previously.",Syllabus,Remote-Only
Autumn 2020,38001-02,Managing in Organizations,Full-Time MBA,"McGill, Ann",,F 1:30PM-4:30PM,,TBA,"None.  However, students must attend week 1. No non-Booth students (including Dougan Scholars).  Cannot enroll in BUSN 38001 if BUSN 20701 taken previously.",Syllabus,Remote-Only
Winter 2021,38001-01,Managing in Organizations,Full-Time MBA,"O'Brien, Ed",,W 8:30AM-11:30AM,,TBA,None.  Cannot enroll in BUSN 38001 if BUSN 20701 taken previously.,Syllabus,Remote-Only
Winter 2021,38001-02,Managing in Organizations,Full-Time MBA,"O'Brien, Ed",,W 1:30PM-4:30PM,,TBA,None.  Cannot enroll in BUSN 38001 if BUSN 20701 taken previously.,Syllabus,Remote-Only
Spring 2021,38001-01,Managing in Organizations,Full-Time MBA,"Fishbach, Ayelet",,M 1:30PM-4:30PM,,TBA,"None. Undergrads, including Dougan Scholars, require instructor permission. Cannot enroll in BUSN 38001 if BUSN 20701 taken previously.",Syllabus,Remote-Only
Spring 2021,38001-02,Managing in Organizations,Full-Time MBA,"Fishbach, Ayelet",,T 8:30AM-11:30AM,,TBA,"None. Undergrads, including Dougan Scholars, require instructor permission. Cannot enroll in BUSN 38001 if BUSN 20701 taken previously.",Syllabus,Remote-Only
Autumn 2020,38002-01,Managerial Decision Making,Full-Time MBA,"Hsee, Christopher",,M 1:30PM-4:30PM,,TBA,Cannot enroll in BUSN 38002 if BUSN 20702 taken previously.,Syllabus,Remote-Only
Winter 2021,38002-01,Managerial Decision Making,Full-Time MBA,"Hastie, Reid",,F 8:30AM-11:30AM,,TBA,Bus 41000 (or41100). Cannot enroll in BUSN 38002 if BUSN 20702 taken previously.,Syllabus,Remote-Only
Winter 2021,38002-02,Managerial Decision Making,Full-Time MBA,"Hastie, Reid",,F 1:30PM-4:30PM,,TBA,Bus 41000 (or41100). Cannot enroll in BUSN 38002 if BUSN 20702 taken previously.,Syllabus,Remote-Only
Spring 2021,38002-01,Managerial Decision Making,Full-Time MBA,"Shah, Anuj",,T 8:30AM-11:30AM,,TBA,None. Cannot enroll in BUSN 38002 if BUSN 20702 taken previously.  Non-Booth students require faculty permission.,Syllabus,Remote-Only
Spring 2021,38002-02,Managerial Decision Making,Full-Time MBA,"Shah, Anuj",,T 1:30PM-4:30PM,,TBA,None. Cannot enroll in BUSN 38002 if BUSN 20702 taken previously.  Non-Booth students require faculty permission.,Syllabus,Remote-Only
Spring 2021,38003-01,Power and Influence in Organizations,Full-Time MBA,"Nussbaum, A.",,M 8:30AM-11:30AM,,TBA,,Syllabus,Remote-Only
Spring 2021,38003-02,Power and Influence in Organizations,Full-Time MBA,"Nussbaum, A.",,M 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Autumn 2020,38103-01,Strategies and Processes of Negotiation,Full-Time MBA,"Talhelm, Thomas",,M 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Autumn 2020,38103-02,Strategies and Processes of Negotiation,Full-Time MBA,"Talhelm, Thomas",,T 2:00PM-5:00PM,,TBA,,Syllabus,Remote-Only
Autumn 2020,38103-03,Strategies and Processes of Negotiation,Full-Time MBA,"Dean, Joshua",,TH 8:30AM-11:30AM,,TBA,,Syllabus,Remote-Only
Winter 2021,38103-01,Strategies and Processes of Negotiation,Full-Time MBA,"Koch, Alex",,T 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Winter 2021,38103-02,Strategies and Processes of Negotiation,Full-Time MBA,"Chaudhry, Shereen",,TH 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Winter 2021,38103-03,Strategies and Processes of Negotiation,Full-Time MBA,"Wittenbrink, Bernd",,F 1:30PM-4:30PM,,TBA,"Bus 38001, 38002, or 38003.",Syllabus,Remote-Only
Spring 2021,38103-01,Strategies and Processes of Negotiation,Full-Time MBA,"Wittenbrink, Bernd",,T 1:30PM-4:30PM,,TBA,"Bus 38001, 38002, or 38003.  ",Syllabus,Remote-Only
Spring 2021,38103-02,Strategies and Processes of Negotiation,Full-Time MBA,"Wittenbrink, Bernd",,W 1:30PM-4:30PM,,TBA,"Bus 38001, 38002, or 38003.  ",Syllabus,Remote-Only
Spring 2021,38105-01,Advanced Negotiations,Full-Time MBA,"Wu, George",,W 8:30AM-11:30AM,,TBA,BUS 38103: strict (cannot be taken concurrently). It is mandatory to attend the first class session.,Syllabus,Remote-Only
Spring 2021,38105-02,Advanced Negotiations,Full-Time MBA,"Wu, George",,W 1:30PM-4:30PM,,TBA,BUS 38103: strict (cannot be taken concurrently). It is mandatory to attend the first class session.,Syllabus,Remote-Only
Autumn 2020,38116-01,Leading and Managing Teams,Full-Time MBA,"Zinchenko, Elena",,TH 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Winter 2021,38119-01,Designing a Good Life,Full-Time MBA,"Epley, Nicholas",,F 8:30AM-11:30AM,,TBA,,Syllabus,Remote-Only
Winter 2021,38120-01,The Study of Behavioral Economics,Full-Time MBA,"Pope, Devin",,W 8:30AM-11:30AM,,TBA,No non-Booth students.  Cannot enroll in BUSN 38120 if BUSN 20710 taken previously.,Syllabus,Remote-Only
Winter 2021,38122-01,Diversity in Organizations,Full-Time MBA,"Risen, Jane",,T 8:30AM-11:30AM,,TBA,,Syllabus,Remote-Only
Winter 2021,38122-02,Diversity in Organizations,Full-Time MBA,"Risen, Jane",,T 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Spring 2021,39001-01,Strategy and Structure: Markets and Organizations,Full-Time MBA,"Sharkey, Amanda",,W 8:30AM-11:30AM,,TBA,,Syllabus,Remote-Only
Spring 2021,39001-02,Strategy and Structure: Markets and Organizations,Full-Time MBA,"Sharkey, Amanda",,W 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Winter 2021,39002-01,Strategic Leadership in Management Networks,Full-Time MBA,"Burt, Ronald",,TH 1:30PM-4:30PM,,TBA,"Working familiarity w/regression analysis strongly recommended. Note: Cannot take Bus 39002 & Bus 39005, or Bus 39002 & Bus 39006. 1st class attendance strongly recommended.",Syllabus,Remote-Only
Winter 2021,39002-02,Strategic Leadership in Management Networks,Full-Time MBA,"Burt, Ronald",,F 8:30AM-11:30AM,,TBA,"Working familiarity w/regression analysis strongly recommended. Note: Cannot take Bus 39002 & Bus 39005, or Bus 39002 & Bus 39006. 1st class attendance strongly recommended.",Syllabus,Remote-Only
Autumn 2020,39101-01,Technology Strategy,Full-Time MBA,"Knez, Marc",,W 8:30AM-11:30AM,Gleacher Center,200,Bus 39001 or 42001,Syllabus,"Faculty In-Person, Dual Modality"
Autumn 2020,40000-01,Operations Management: Business Process Fundamentals,Full-Time MBA,"Caldentey, Rene",,TH 1:30PM-4:30PM,Gleacher Center,200,Any previous or concurrent exposure to basic statistics is helpful. It is mandatory to attend the first class session.  Cannot enroll in BUSN 40000 if BUSN 20500 taken previously.,Syllabus,"Faculty In-Person, Dual Modality"
Winter 2021,40000-01,Operations Management: Business Process Fundamentals,Full-Time MBA,"Candogan, Ozan",,W 1:30PM-4:30PM,,TBA,Previous or concurrent exposure to basic stats is helpful. It is mandatory to attend the first class session.  Cannot enroll in BUSN 40000 if BUSN 20500 taken previously.,Syllabus,Remote-Only
Winter 2021,40000-02,Operations Management: Business Process Fundamentals,Full-Time MBA,"Candogan, Ozan",,TH 1:30PM-4:30PM,,TBA,Previous or concurrent exposure to basic stats is helpful. It is mandatory to attend the first class session.  Cannot enroll in BUSN 40000 if BUSN 20500 taken previously.,Syllabus,Remote-Only
Spring 2021,40000-01,Operations Management: Business Process Fundamentals,Full-Time MBA,"Zhong, Yuan",,TH 8:30AM-11:30AM,,TBA,Any previous or concurrent exposure to basic statistics is helpful.  Cannot enroll in BUSN 40000 if BUSN 20500 taken previously.,Syllabus,Remote-Only
Spring 2021,40000-02,Operations Management: Business Process Fundamentals,Full-Time MBA,"Xin, Linwei",,TH 1:30PM-4:30PM,,TBA,Previous or concurrent exposure to basic stats.  It is mandatory to attend the first class session.  Cannot enroll in BUSN 40000 if BUSN 20500 taken previously.,Syllabus,Remote-Only
Spring 2021,40000-03,Operations Management: Business Process Fundamentals,Full-Time MBA,"Xin, Linwei",,F 1:30PM-4:30PM,,TBA,Previous or concurrent exposure to basic stats.  It is mandatory to attend the first class session.  Cannot enroll in BUSN 40000 if BUSN 20500 taken previously.,Syllabus,Remote-Only
Winter 2021,40101-01,Supply Chain Strategy and Practice,Full-Time MBA,"DeHoratius, Nicole",,M 1:30PM-4:30PM,,TBA,Cannot enroll in BUSN 40101 if BUSN 20520 taken previously.,Syllabus,Remote-Only
Winter 2021,40108-01,Revenue Management,Full-Time MBA,"Birge, John",,W 1:30PM-4:30PM,,TBA,Bus 33001 and 41000 (or 41100).,Syllabus,Remote-Only
Winter 2021,40110-01,Managing Service Operations,Full-Time MBA,"Ward, Amy",,T 8:30AM-11:30AM,,TBA,Previous or concurrent exposure to basic statistics is helpful.,Syllabus,Remote-Only
Winter 2021,40205-01,Healthcare Data Analytics,Full-Time MBA,"Adelman, Dan",,TH 2:00PM-5:00PM,,TBA,"Basic stats & intro exposure to R programming. Occasionally req’d to run/slightly edit provided code. Numerical work using ""point-and-click"" recipes in Data Science Studio by Dataiku http://www.dataiku.com. Cannot take 40205 if 40201 taken.",Syllabus,Remote-Only
Autumn 2020,40721-01,Healthcare Analytics Lab,Full-Time MBA,"Adelman, Dan",,W 8:30AM-11:30AM,,TBA,"See description for details. Bus 40205. Depending on project, stats @ level of 41201, 41100, or 41204.  40000, 30001, & 36106 may also be helpful, depending on project. 32100 helpful.",Syllabus,Remote-Only
Autumn 2020,41000-01,Business Statistics,Full-Time MBA,"Aragam, Bryon",,M 8:30AM-11:30AM,,TBA,No undergraduates (including Dougan Scholars). Other non-Booth students require faculty permission.,Syllabus,Remote-Only
Autumn 2020,41000-02,Business Statistics,Full-Time MBA,"Aragam, Bryon",,M 1:30PM-4:30PM,,TBA,No undergraduates (including Dougan Scholars). Other non-Booth students require faculty permission.,Syllabus,Remote-Only
Autumn 2020,41000-03,Business Statistics,Full-Time MBA,"Liang, Tengyuan",,T 6:00PM-9:00PM,,TBA,"If you have a weak math background, math review course prior to start of class is recommended.",Syllabus,Remote-Only
Autumn 2020,41000-04,Business Statistics,Full-Time MBA,"Liang, Tengyuan",,W 8:30AM-11:30AM,,TBA,"If you have a weak math background, math review course prior to start of class is recommended.",Syllabus,Remote-Only
Autumn 2020,41000-05,Business Statistics,Full-Time MBA,"Liang, Tengyuan",,W 1:30PM-4:30PM,,TBA,"If you have a weak math background, math review course prior to start of class is recommended.",Syllabus,Remote-Only
Autumn 2020,41000-06,Business Statistics,Full-Time MBA,"Polson, Nicholas",,F 8:30AM-11:30AM,,TBA,None.,Syllabus,Remote-Only
Autumn 2020,41100-01,Applied Regression Analysis,Full-Time MBA,"Farrell, Max",,F 1:30PM-4:30PM,,TBA,Bus 41000 or familiarity with topics covered. This course is only for students with solid background in statistics and preferably some prior exposure to linear regression.,Syllabus,Remote-Only
Autumn 2020,41100-02,Applied Regression Analysis,Full-Time MBA,"Toulis (Panos), Panagiotis",,W 8:30AM-11:30AM,,TBA,Bus 41000 or equiv. Students should have a basic background in stats & preferably some prior exposure to linear regression.,Syllabus,Remote-Only
Autumn 2020,41100-03,Applied Regression Analysis,Full-Time MBA,"Toulis (Panos), Panagiotis",,W 1:30PM-4:30PM,,TBA,Bus 41000 or equiv. Students should have a basic background in stats & preferably some prior exposure to linear regression.,Syllabus,Remote-Only
Autumn 2020,41100-04,Applied Regression Analysis,Full-Time MBA,"Xiu, Dacheng",,M 1:30PM-4:30PM,Harper Center,104BC,This course is intended for students with some prior exposure to statistics.,Syllabus,"Faculty Remote, Dual Modality"
Winter 2021,41100-01,Applied Regression Analysis,Full-Time MBA,"Xiu, Dacheng",,M 1:30PM-4:30PM,,TBA,This course is intended for students with some prior exposure to statistics.,Syllabus,Remote-Only
Spring 2021,41100-01,Applied Regression Analysis,Full-Time MBA,"Smetanina, Ekaterina (Katja)",,TH 8:30AM-11:30AM,,TBA,"Bus 41000 (or familiarity with topics covered). Course only for students with basic background in stats, and preferably some prior exposure to linear regression. Note: Homework due in first class. No Non-Booth students.",Syllabus,Remote-Only
Spring 2021,41201-01,Big Data,Full-Time MBA,"Rockova, Veronika",,F 1:30PM-4:30PM,,TBA,Bus 41000 (or 41100).  Cannot enroll in BUSN 41201 if BUSN 20800 taken previously.,Syllabus,Remote-Only
Spring 2021,41202-01,Analysis of Financial Time Series,Full-Time MBA,"Tsay, Ruey",,TH 8:30AM-11:30AM,,TBA,Bus 41000 (or 41100).  Undergrads require instructor permission: strict.,Syllabus,Remote-Only
Winter 2021,41204-01,Machine Learning,Full-Time MBA,"Kolar, Mladen",,F 1:30PM-4:30PM,,TBA,Bus 41100. Cannot enroll in BUSN 41204 if BUSN 20810 taken previously.,Syllabus,Remote-Only
Autumn 2020,41301-01,"Statistical Insight into Marketing, Consulting, and Entrepreneurship",Full-Time MBA,"Gilula, Zvi",,M 8:30AM-11:30AM,,TBA,Bus 41000 (or 41100): strict.  Students may petition instructor if they believe they have strong statistics background.  Non-Booth students require instructor permission.,Syllabus,Remote-Only
Autumn 2020,41301-02,"Statistical Insight into Marketing, Consulting, and Entrepreneurship",Full-Time MBA,"Gilula, Zvi",,T 8:30AM-11:30AM,,TBA,Bus 41000 (or 41100): strict.  Students may petition instructor if they believe they have strong statistics background.  Non-Booth students require instructor permission.,Syllabus,Remote-Only
Autumn 2020,42001-01,Competitive Strategy,Full-Time MBA,"Syverson, Chad",,M 8:30AM-11:30AM,,TBA,Bus 33001.  Cannot enroll in BUSN 42001 if BUSN 20900 taken previously.,Syllabus,Remote-Only
Autumn 2020,42001-02,Competitive Strategy,Full-Time MBA,"Wollmann, Thomas",,W 1:30PM-4:30PM,,TBA,Bus 33001 highly recommended. Cannot enroll in BUSN 42001 if BUSN 20900 taken previously.,Syllabus,Remote-Only
Autumn 2020,42001-03,Competitive Strategy,Full-Time MBA,"Wollmann, Thomas",,TH 8:30AM-11:30AM,,TBA,Bus 33001 highly recommended. Cannot enroll in BUSN 42001 if BUSN 20900 taken previously.,Syllabus,Remote-Only
Autumn 2020,42001-04,Competitive Strategy,Full-Time MBA,"Covert, Thomas",,F 8:30AM-11:30AM,,TBA,Cannot enroll in BUSN 42001 if BUSN 20900 taken previously.,Syllabus,Remote-Only
Autumn 2020,42001-05,Competitive Strategy,Full-Time MBA,"Covert, Thomas",,F 1:30PM-4:30PM,,TBA,Cannot enroll in BUSN 42001 if BUSN 20900 taken previously.,Syllabus,Remote-Only
Winter 2021,42001-01,Competitive Strategy,Full-Time MBA,"Budish, Eric",,M 1:30PM-4:30PM,Gleacher Center,200,"BUSN 33001 or ECON 20000 strongly recommended, but not req’d. Must be very comfortable w/ micro @that level. Can’t enroll in BUSN 42001 if 20900 taken previously. No undergrads. Other Non-Booth students email statement of interest & CV to Prof Budish",Syllabus,"Faculty In-Person, Dual Modality"
Winter 2021,42001-02,Competitive Strategy,Full-Time MBA,"Leshno, Jacob",,F 8:30AM-11:30AM,,TBA,Bus 33001. Cannot enroll in BUSN 42001 if BUSN 20900 taken previously.,Syllabus,Remote-Only
Winter 2021,42001-03,Competitive Strategy,Full-Time MBA,"Leshno, Jacob",,F 1:30PM-4:30PM,,TBA,Bus 33001. Cannot enroll in BUSN 42001 if BUSN 20900 taken previously.,Syllabus,Remote-Only
Spring 2021,42001-01,Competitive Strategy,Full-Time MBA,"Shefi, Yoad",,T 8:30AM-11:30AM,,TBA,Bus 33001.  Cannot enroll in BUSN 42001 if BUSN 20900 taken previously.,Syllabus,Remote-Only
